date,nav,fund,proj_id
2021-01-04,11.8909,K-GINCOME,M0217_2558
2021-01-05,11.8486,K-GINCOME,M0217_2558
2021-01-06,11.8865,K-GINCOME,M0217_2558
2021-01-07,11.9211,K-GINCOME,M0217_2558
2021-01-08,11.955,K-GINCOME,M0217_2558
2021-01-11,11.9395,K-GINCOME,M0217_2558
2021-01-12,11.9349,K-GINCOME,M0217_2558
2021-01-13,11.9502,K-GINCOME,M0217_2558
2021-01-14,11.9772,K-GINCOME,M0217_2558
2021-01-15,11.9527,K-GINCOME,M0217_2558
2021-01-19,11.985,K-GINCOME,M0217_2558
2021-01-20,12.006,K-GINCOME,M0217_2558
2021-01-21,12.0039,K-GINCOME,M0217_2558
2021-01-22,11.9654,K-GINCOME,M0217_2558
2021-01-25,11.9759,K-GINCOME,M0217_2558
2021-01-26,11.9885,K-GINCOME,M0217_2558
2021-01-27,11.9271,K-GINCOME,M0217_2558
2021-01-28,11.9004,K-GINCOME,M0217_2558
2021-01-29,11.8636,K-GINCOME,M0217_2558
2021-02-01,11.866,K-GINCOME,M0217_2558
2021-02-02,11.9381,K-GINCOME,M0217_2558
2021-02-03,11.9564,K-GINCOME,M0217_2558
2021-02-04,11.974,K-GINCOME,M0217_2558
2021-02-05,12.0203,K-GINCOME,M0217_2558
2021-02-08,12.0408,K-GINCOME,M0217_2558
2021-02-09,12.0408,K-GINCOME,M0217_2558
2021-02-10,12.0739,K-GINCOME,M0217_2558
2021-02-11,12.0757,K-GINCOME,M0217_2558
2021-02-16,12.1049,K-GINCOME,M0217_2558
2021-02-17,12.0773,K-GINCOME,M0217_2558
2021-02-18,12.0574,K-GINCOME,M0217_2558
2021-02-19,12.0777,K-GINCOME,M0217_2558
2021-02-22,12.042,K-GINCOME,M0217_2558
2021-02-23,12.0394,K-GINCOME,M0217_2558
2021-02-24,12.063,K-GINCOME,M0217_2558
2021-02-25,12.0971,K-GINCOME,M0217_2558
2021-03-01,12.0161,K-GINCOME,M0217_2558
2021-03-02,12.0326,K-GINCOME,M0217_2558
2021-03-03,12.0282,K-GINCOME,M0217_2558
2021-03-04,12.0214,K-GINCOME,M0217_2558
2021-03-05,11.9559,K-GINCOME,M0217_2558
2021-03-08,12.0139,K-GINCOME,M0217_2558
2021-03-09,12.0555,K-GINCOME,M0217_2558
2021-03-10,12.0801,K-GINCOME,M0217_2558
2021-03-11,12.1383,K-GINCOME,M0217_2558
2021-03-12,12.1413,K-GINCOME,M0217_2558
2021-03-15,12.1613,K-GINCOME,M0217_2558
2021-03-16,12.1866,K-GINCOME,M0217_2558
2021-03-17,12.1403,K-GINCOME,M0217_2558
2021-03-18,12.154,K-GINCOME,M0217_2558
2021-03-19,12.1096,K-GINCOME,M0217_2558
2021-03-22,12.1167,K-GINCOME,M0217_2558
2021-03-23,12.1051,K-GINCOME,M0217_2558
2021-03-24,12.1081,K-GINCOME,M0217_2558
2021-03-25,12.0618,K-GINCOME,M0217_2558
2021-03-26,12.1527,K-GINCOME,M0217_2558
2021-03-29,12.1838,K-GINCOME,M0217_2558
2021-03-30,12.1554,K-GINCOME,M0217_2558
2021-03-31,12.1801,K-GINCOME,M0217_2558
2021-04-01,12.2023,K-GINCOME,M0217_2558
2021-04-07,12.2845,K-GINCOME,M0217_2558
2021-04-08,12.2854,K-GINCOME,M0217_2558
2021-04-09,12.2861,K-GINCOME,M0217_2558
2021-04-12,12.2861,K-GINCOME,M0217_2558
2021-04-16,12.3736,K-GINCOME,M0217_2558
2021-04-19,12.3826,K-GINCOME,M0217_2558
2021-04-20,12.339,K-GINCOME,M0217_2558
2021-04-21,12.3276,K-GINCOME,M0217_2558
2021-04-22,12.3665,K-GINCOME,M0217_2558
2021-04-23,12.3694,K-GINCOME,M0217_2558
2021-04-26,12.4159,K-GINCOME,M0217_2558
